,회사명,거래금액,스마트폰.1,avg
124,다올투자증권,1000만원,1500.0,2913.3333333333335
6,다올투자증권,100만원,150.0,2913.3333333333335
191,다올투자증권,10만원,10.0,2913.3333333333335
194,다올투자증권,1억원,15000.0,2913.3333333333335
28,다올투자증권,500만원,750.0,2913.3333333333335
30,다올투자증권,50만원,70.0,2913.3333333333335
106,미래에셋증권,1000만원,1400.0,2720.6666666666665
10,미래에셋증권,100만원,140.0,2720.6666666666665
89,미래에셋증권,10만원,14.0,2720.6666666666665
144,미래에셋증권,1억원,14000.0,2720.6666666666665
86,미래에셋증권,500만원,700.0,2720.6666666666665
185,미래에셋증권,50만원,70.0,2720.6666666666665
131,엘에스증권,1000만원,1500.0,2915.0
75,엘에스증권,100만원,150.0,2915.0
206,엘에스증권,10만원,15.0,2915.0
116,엘에스증권,1억원,15000.0,2915.0
84,엘에스증권,500만원,750.0,2915.0
1,엘에스증권,50만원,75.0,2915.0
117,유진투자증권,1000만원,1500.0,2915.0
11,유진투자증권,100만원,150.0,2915.0
19,유진투자증권,10만원,15.0,2915.0
134,유진투자증권,1억원,15000.0,2915.0
3,유진투자증권,500만원,750.0,2915.0
203,유진투자증권,50만원,75.0,2915.0
165,케이프투자증권,1000만원,1500.0,2915.0
2,케이프투자증권,100만원,150.0,2915.0
195,케이프투자증권,10만원,15.0,2915.0
190,케이프투자증권,1억원,15000.0,2915.0
13,케이프투자증권,500만원,750.0,2915.0
20,케이프투자증권,50만원,75.0,2915.0
133,키움증권,1000만원,1500.0,2913.3333333333335
78,키움증권,100만원,150.0,2913.3333333333335
208,키움증권,10만원,10.0,2913.3333333333335
114,키움증권,1억원,15000.0,2913.3333333333335
41,키움증권,500만원,750.0,2913.3333333333335
151,키움증권,50만원,70.0,2913.3333333333335
137,하나증권,1000만원,1410.0,466.0
63,하나증권,100만원,140.0,466.0
211,하나증권,10만원,10.0,466.0
110,하나증권,1억원,,466.0
52,하나증권,500만원,700.0,466.0
178,하나증권,50만원,70.0,466.0
139,한국투자증권,1000만원,1405.0,2731.0
48,한국투자증권,100만원,141.0,2731.0
213,한국투자증권,10만원,14.0,2731.0
108,한국투자증권,1억원,14053.0,2731.0
68,한국투자증권,500만원,703.0,2731.0
176,한국투자증권,50만원,70.0,2731.0
148,현대차증권,1000만원,,3698.0
50,현대차증권,100만원,,3698.0
159,현대차증권,10만원,198.0,3698.0
101,현대차증권,1억원,,3698.0
53,현대차증권,500만원,9905.0,3698.0
169,현대차증권,50만원,991.0,3698.0
