,회사명,거래금액,스마트폰.1,avg
61,DB금융투자,1000만원,5.44041,8471.817041666667
353,DB금융투자,1000만원,2316.0,8471.817041666667
519,DB금융투자,1000만원,14916.0,8471.817041666667
122,DB금융투자,100만원,7.58621,8471.817041666667
304,DB금융투자,100만원,232.0,8471.817041666667
420,DB금융투자,100만원,1992.0,8471.817041666667
330,DB금융투자,10만원,23.0,8471.817041666667
28,DB금융투자,10만원,27.21739,8471.817041666667
531,DB금융투자,10만원,649.0,8471.817041666667
98,DB금융투자,1억원,3.28095,8471.817041666667
270,DB금융투자,1억원,23164.0,8471.817041666667
478,DB금융투자,1억원,99164.0,8471.817041666667
117,DB금융투자,500만원,5.44041,8471.817041666667
280,DB금융투자,500만원,1158.0,8471.817041666667
429,DB금융투자,500만원,7458.0,8471.817041666667
53,DB금융투자,50만원,9.74138,8471.817041666667
235,DB금융투자,50만원,116.0,8471.817041666667
545,DB금융투자,50만원,1246.0,8471.817041666667
101,교보증권,1000만원,9.65714,10687.821949444444
326,교보증권,1000만원,1400.0,10687.821949444444
474,교보증권,1000만원,14920.0,10687.821949444444
156,교보증권,100만원,2.10938,10687.821949444444
355,교보증권,100만원,640.0,10687.821949444444
454,교보증권,100만원,1990.0,10687.821949444444
316,교보증권,10만원,10.0,10687.821949444444
38,교보증권,10만원,63.0,10687.821949444444
551,교보증권,10만원,640.0,10687.821949444444
68,교보증권,1억원,9.65714,10687.821949444444
208,교보증권,1억원,14000.0,10687.821949444444
523,교보증권,1억원,149200.0,10687.821949444444
130,교보증권,500만원,9.65714,10687.821949444444
251,교보증권,500만원,700.0,10687.821949444444
457,교보증권,500만원,7460.0,10687.821949444444
40,교보증권,50만원,16.71429,10687.821949444444
282,교보증권,50만원,70.0,10687.821949444444
529,교보증권,50만원,1240.0,10687.821949444444
77,다올투자증권,1000만원,0.0,1942.2222222222222
214,다올투자증권,1000만원,1500.0,1942.2222222222222
498,다올투자증권,1000만원,1500.0,1942.2222222222222
182,다올투자증권,100만원,0.0,1942.2222222222222
333,다올투자증권,100만원,150.0,1942.2222222222222
380,다올투자증권,100만원,150.0,1942.2222222222222
22,다올투자증권,10만원,0.0,1942.2222222222222
